0.000000	16.012746	LEPPOD_M
2.739644	3.589878	DENMIN_M
3.932334	4.392877	PITAZU_F
5.857170	6.423992	DENMIN_M
6.990815	7.510403	DENMIN_M
8.573196	8.832990	PITAZU_F
8.832990	9.494283	DENMIN_M
10.557076	10.698782	PITAZU_F
11.478163	12.186692	DENMIN_M
11.785192	11.938707	PITAZU_F
12.659044	13.178632	DENMIN_M
15.445923	15.741143	PITAZU_F
16.579569	17.193627	DENMIN_M
16.815745	59.894282	LEPPOD_M
17.795876	17.902155	PITAZU_F
18.870478	19.047610	PITAZU_F
21.114152	22.543018	PITAZU_F
23.346017	24.928397	PITAZU_F
23.853795	24.467854	DENMIN_M
25.672352	26.180131	PITAZU_F
26.817807	27.290159	PITAZU_F
27.880599	28.034114	PITAZU_F
28.919775	29.451171	PITAZU_F
29.805435	30.325023	DENMIN_M
30.325023	30.632052	PITAZU_F
31.576757	32.084536	PITAZU_F
32.863917	33.206373	PITAZU_F
33.513402	33.808622	PITAZU_F
34.741518	36.560075	PITAZU_F
36.985192	37.693720	DENMIN_M
37.516588	38.543955	PITAZU_F
38.355014	38.780131	DENMIN_M
39.653983	42.653420	PITAZU_F
41.755951	42.464479	DENMIN_M
44.920712	45.286785	PITAZU_F
46.101593	46.762886	DENMIN_M
46.680224	46.951827	PITAZU_F
48.120899	48.605060	PITAZU_F
49.868603	50.281911	PITAZU_F
50.966822	51.628116	DENMIN_M
51.793439	52.206747	PITAZU_F
54.781068	56.020993	PITAZU_F
55.832052	56.587816	DENMIN_M
57.390815	57.756888	PITAZU_F
